LSOA11CD,LSOA11NM,area,NO2,NOx,PM25,PM10,AQ,IMD,IMD_R,population,pop_density,LAD11NM
E01000066,Barking_and_Dagenham 011A,0.2458412,25.06117381,36.59896881,10.37867731,15.67537297,295.2059179,25.763,4,2304,9371.903505,Barking_and_Dagenham
E01000067,Barking_and_Dagenham 011B,0.192149653,26.4651804,40.74357671,10.62911198,16.51232239,279.4320344,20.973,5,2222,11563.9033,Barking_and_Dagenham
E01000068,Barking_and_Dagenham 016E,0.341692398,26.08044387,38.56131015,10.54907141,16.14157873,285.78772,25.603,4,1534,4489.417988,Barking_and_Dagenham
E01000069,Barking_and_Dagenham 011C,0.195356395,25.68107874,37.94097054,10.44593771,15.84347526,290.0466447,16.375,6,1938,9920.330467,Barking_and_Dagenham
E01000070,Barking_and_Dagenham 011D,0.395818011,26.30769966,39.46606515,10.56228383,16.26096792,283.253564,21.038,5,2190,5532.845751,Barking_and_Dagenham
E01000071,Barking_and_Dagenham 011E,0.270621632,26.15963079,39.18700541,10.49529611,15.94024296,286.1213286,18.848,5,2637,9744.232115,Barking_and_Dagenham
E01000072,Barking_and_Dagenham 017E,0.522560123,25.33979632,37.44697741,10.38214221,15.6714147,293.1066706,41.016,2,2128,4072.258685,Barking_and_Dagenham
E01000073,Barking_and_Dagenham 012B,0.282928598,24.69553809,35.87578846,10.32848511,15.49919387,298.7504738,38.757,2,1791,6330.21904,Barking_and_Dagenham
E01000074,Barking_and_Dagenham 012C,0.164571256,25.25433136,37.88960759,10.45213905,15.84725628,291.1889389,35.044,2,1627,9886.295097,Barking_and_Dagenham
E01000075,Barking_and_Dagenham 012D,0.51615983,24.59240257,35.86092504,10.32830202,15.5044258,299.0424924,36.999,2,1883,3648.094814,Barking_and_Dagenham
E01000076,Barking_and_Dagenham 012E,0.189981051,24.82549208,36.31189773,10.35401271,15.51446269,297.3677517,36.246,2,2111,11111.63452,Barking_and_Dagenham
E01000077,Barking_and_Dagenham 008F,0.174019238,25.80361751,40.06980107,10.52572506,16.16663923,284.4620446,41.032,2,1565,8993.258551,Barking_and_Dagenham
E01000078,Barking_and_Dagenham 007B,0.1717603,25.857797,40.48033081,10.5221024,16.08577636,284.1986698,35.033,2,1892,11015.35106,Barking_and_Dagenham
E01000079,Barking_and_Dagenham 009E,0.309908901,23.67754565,33.65846459,10.21237071,15.17250184,308.4593963,34.522,2,1772,5717.809321,Barking_and_Dagenham
E01000080,Barking_and_Dagenham 007C,0.232963044,24.68231126,36.57671243,10.35340251,15.60754052,296.8610244,33.185,3,1612,6919.552435,Barking_and_Dagenham
E01000081,Barking_and_Dagenham 007D,0.186342073,23.6613936,33.79427131,10.23479749,15.19816292,307.9178029,30.608,3,1846,9906.512107,Barking_and_Dagenham
E01000082,Barking_and_Dagenham 007E,0.163350651,24.66454081,36.99003913,10.39326453,15.75786069,295.1470773,27.895,3,2079,12727.22203,Barking_and_Dagenham
E01000083,Barking_and_Dagenham 007F,0.179268008,25.45444911,38.87754836,10.48290627,15.97724372,288.3047778,34.377,2,1937,10805.05116,Barking_and_Dagenham
E01000084,Barking_and_Dagenham 013D,0.152481408,24.96343527,37.70819351,10.36610238,15.63057039,294.0797822,39.815,2,1426,9351.95981,Barking_and_Dagenham
E01000085,Barking_and_Dagenham 013E,0.144569502,24.56030286,36.86497048,10.33446106,15.62707656,296.8061654,35.154,2,1889,13066.37967,Barking_and_Dagenham
E01000086,Barking_and_Dagenham 013F,0.139092358,24.49177732,36.47336049,10.29651339,15.56406271,298.279231,38.156,2,1469,10561.32786,Barking_and_Dagenham
E01000087,Barking_and_Dagenham 020B,0.375162188,26.05438509,41.45497327,10.37245003,16.23201804,282.9727852,34.357,2,1620,4318.132404,Barking_and_Dagenham
E01000088,Barking_and_Dagenham 020C,0.224351395,24.28172348,35.97154567,10.25452795,15.63773549,299.6893973,28.849,3,2105,9382.602692,Barking_and_Dagenham
E01000089,Barking_and_Dagenham 020D,0.15094192,23.5681355,33.93052988,10.07678692,15.16374481,309.5206859,28.968,3,1886,12494.8722,Barking_and_Dagenham
E01000090,Barking_and_Dagenham 020E,1.943486364,25.50273075,39.40361753,10.23064114,15.61863731,291.3725811,28.317,3,1729,889.6383488,Barking_and_Dagenham
E01000091,Barking_and_Dagenham 022A,0.247762284,25.10434281,36.78014257,10.30855158,15.63920866,295.5748894,42.183,2,2105,8496.046978,Barking_and_Dagenham
E01000092,Barking_and_Dagenham 019E,2.643463283,25.36593321,37.9349991,10.35974072,15.83089318,291.6721871,33.768,2,5820,2201.657211,Barking_and_Dagenham
E01000093,Barking_and_Dagenham 022B,0.292222458,28.52911054,47.34733911,10.84705268,17.40377817,261.7150186,46.922,1,1797,6149.424703,Barking_and_Dagenham
E01000094,Barking_and_Dagenham 022C,0.600238101,24.30813736,34.75317575,10.12458622,15.19264235,305.2071706,28.182,3,2294,3821.816705,Barking_and_Dagenham
E01000095,Barking_and_Dagenham 018E,2.29736077,25.78957065,40.32829462,10.30255899,15.95595931,287.0411818,32.254,3,1851,805.7071507,Barking_and_Dagenham
E01000096,Barking_and_Dagenham 022D,0.59865007,28.41355013,47.85384033,10.85712129,17.5465422,260.8117871,40.926,2,1828,3053.536768,Barking_and_Dagenham
E01000097,Barking_and_Dagenham 023C,0.181421662,25.34503869,38.70840841,10.39463434,15.5623851,291.6773503,38.009,2,1843,10158.65457,Barking_and_Dagenham
E01000098,Barking_and_Dagenham 023D,0.173649517,25.20568498,38.26604032,10.40122892,15.58007322,292.5502671,39.405,2,1824,10503.91634,Barking_and_Dagenham
E01000099,Barking_and_Dagenham 023E,0.310307819,23.95376203,34.70758433,10.19331386,15.06595168,306.4373328,29.266,3,2474,7972.728525,Barking_and_Dagenham
E01000100,Barking_and_Dagenham 004B,0.210605432,23.7538059,34.33605651,10.20189674,15.09704861,307.4685546,31.83,3,1764,8375.85234,Barking_and_Dagenham
E01000101,Barking_and_Dagenham 004C,0.160998445,24.43101061,36.82425471,10.27245942,15.44695121,298.7117457,40.463,2,1620,10062.20901,Barking_and_Dagenham
E01000102,Barking_and_Dagenham 007G,0.254390765,23.85100901,34.29900844,10.2285042,15.15698183,306.6795291,42.631,2,1517,5963.266777,Barking_and_Dagenham
E01000103,Barking_and_Dagenham 014A,0.698238302,23.11633272,32.71360811,10.04714464,15.08901582,313.990996,32.894,3,1689,2418.94493,Barking_and_Dagenham
E01000104,Barking_and_Dagenham 014B,0.216169184,25.21305173,39.17069556,10.44070389,16.20901936,287.756575,34.672,2,2010,9298.272611,Barking_and_Dagenham
E01000105,Barking_and_Dagenham 014C,0.223610366,24.11558955,35.52827861,10.29793564,15.47421841,301.4091324,44.149,1,2299,10281.27648,Barking_and_Dagenham
E01000106,Barking_and_Dagenham 014D,0.220851788,23.48179233,33.76599806,10.23671051,15.47082165,307.0481303,43.523,2,2192,9925.208311,Barking_and_Dagenham
E01000107,Barking_and_Dagenham 010C,0.539433805,21.94694532,29.99599328,9.951800372,15.49997688,322.5780683,28.332,3,1803,3342.393419,Barking_and_Dagenham
E01000108,Barking_and_Dagenham 010D,0.238529254,23.39910201,33.91674064,10.29522801,16.74764765,300.3000635,28.166,3,1892,7931.941133,Barking_and_Dagenham
E01000109,Barking_and_Dagenham 004D,0.375843425,23.45907185,33.48971141,10.10761929,14.88977734,311.956485,25.691,4,2768,7364.768979,Barking_and_Dagenham
E01000110,Barking_and_Dagenham 002C,0.188381664,24.05921178,35.7908425,10.13282274,15.11253696,304.5120925,17.741,5,1464,7771.45698,Barking_and_Dagenham
E01000111,Barking_and_Dagenham 002D,0.301411063,24.64412407,37.34427904,10.24835681,15.35358972,297.9895816,28.903,3,2052,6807.978372,Barking_and_Dagenham
E01000112,Barking_and_Dagenham 002E,0.276279589,24.97864562,38.16272001,10.29302451,15.40759969,295.1439347,24.743,4,2164,7832.645211,Barking_and_Dagenham
E01000113,Barking_and_Dagenham 002F,0.15467316,25.35536366,39.22218063,10.36980217,15.58301046,291.0207159,25.268,4,1805,11669.7687,Barking_and_Dagenham
E01000114,Barking_and_Dagenham 004E,0.256211076,24.87063456,38.6833795,10.28409851,15.53906256,294.0665476,23.288,4,2437,9511.68873,Barking_and_Dagenham
E01000115,Barnet 009A,0.279821769,25.14666917,37.33632316,10.2443401,15.25992621,297.1417759,6.227,9,1353,4835.220658,Barnet
E01000116,Barnet 009B,0.245326309,25.27191887,37.41230609,10.25242746,15.23414487,296.755033,7.79,9,1744,7108.899187,Barnet
E01000117,Barnet 010A,0.329383626,25.35119357,37.75710208,10.23925569,15.14337532,296.625522,9.642,8,1780,5404.03304,Barnet
E01000118,Barnet 010B,0.28508452,26.85350394,41.88185959,10.47150168,15.77929,281.8815688,9.812,8,2135,7489.007127,Barnet
E01000119,Barnet 009C,0.400518723,24.72741061,35.32849092,10.16772237,15.034424,303.4904428,11.589,7,1727,4311.90829,Barnet
E01000120,Barnet 009D,0.242969991,25.40243931,37.61055356,10.27363376,15.31484899,295.4821178,5.902,10,1486,6115.981626,Barnet
E01000121,Barnet 010C,0.376640934,25.18712138,36.64295843,10.23274683,15.08765495,299.1684059,36.203,2,1463,3884.336164,Barnet
E01000122,Barnet 009E,0.23551851,25.44167168,37.05713392,10.26518636,15.19356352,296.9635672,10.152,8,1461,6203.334091,Barnet
E01000123,Barnet 010D,0.524552034,25.64160228,37.62121759,10.28898372,15.23358903,295.1411209,11.048,8,1746,3328.554434,Barnet
E01000124,Barnet 010E,0.260025778,28.0843493,44.85709654,10.62866542,16.1504803,272.5391711,23.589,4,1779,6841.629381,Barnet
E01000125,Barnet 024A,0.303157156,26.52868496,40.73792358,10.40863005,15.79038726,284.5773119,26.704,3,3282,10826.06806,Barnet
